performance_id,company_id,date,revenue,profit,eps
361483,1448,2021-09-29,33115.27,7036.71,35.33
423408,1103,2021-10-11,25562.17,-1151.8,0.69
426242,7567,2024-03-14,49649.73,-2469.35,36.62
204917,9672,2024-06-13,34951.97,6859.55,16.49
229534,3934,2023-01-20,44899.11,12509.2,48.64
330375,8425,2022-02-07,7459.66,10836.26,2.8
674242,5484,2022-05-19,47695.05,11661.79,48.46
461380,4086,2022-04-12,48932.7,5648.7,44.76
218861,4798,2022-05-27,44181.79,8568.81,44.3
194460,4272,2023-01-28,8516.98,-158.17,37.97
176562,8218,2022-12-02,18495.98,13375.25,-2.93
551009,5575,2024-05-31,43423.59,9158.25,19.35
658338,4369,2024-02-26,2493.17,5708.52,34.41
839132,5953,2023-03-26,26306.36,2698.93,21.6
487424,7510,2023-07-12,19777.9,14161.65,-4.72
191461,7209,2021-10-29,46206.5,13983.08,14.3
561713,2251,2023-03-14,24040.6,13414.91,25.21
635826,2210,2023-06-04,11465.43,6322.87,3.29
569856,1520,2022-09-23,49342.03,-3137.95,49.38
619064,6115,2023-08-18,27068.42,-1905.52,13.16
941592,1833,2024-02-23,18072.23,2000.8,9.9
980685,6016,2024-02-04,28283.47,-570.79,22.13
639133,2426,2024-06-20,23707.15,-1836.72,30.1
283863,2579,2022-07-23,7949.3,-2406.96,-1.48
662435,8138,2023-12-19,40086.3,12274.91,-4.2
693516,4127,2022-04-06,24835.57,216.77,-0.64
389569,4237,2022-02-06,8328.22,6383.13,37.48
111865,9255,2024-03-23,8869.1,12009.02,20.21
871168,2398,2023-08-09,18615.82,1483.14,7.33
990378,5019,2022-02-11,23343.46,-2357.14,29.46
231922,9116,2023-05-14,11661.67,4415.53,31.96
914339,2288,2024-07-31,49633.17,8184.28,18.43
917239,7838,2023-05-29,25251.1,-1561.39,43.19
216328,8721,2021-10-10,5892.68,10636.54,17.76
277835,3116,2022-10-20,41063.58,-1454.33,40.57
145705,6476,2024-06-17,44946.08,10874.74,10.95
774094,1473,2023-06-18,32892.39,1194.48,24.6
246490,1435,2023-09-08,31599.03,3592.01,6.19
622647,9713,2022-06-22,45253.02,7897.22,20.68
422952,5713,2024-03-31,30853.93,-295.64,49.56
804257,7917,2023-06-28,45427.87,-1210.51,29.01
800429,3264,2022-08-04,21418.93,3464.83,49.76
639188,7771,2022-01-25,47605.32,-3026.0,32.47
721258,2192,2023-02-01,13209.02,10835.84,29.68
772396,2940,2023-11-28,38628.99,-3458.15,6.37
155484,5626,2024-07-26,47668.31,304.55,28.34
844491,1732,2024-06-12,3738.22,745.61,5.05
258962,3776,2023-03-13,39977.35,12809.81,34.74
307684,9295,2022-04-10,18953.67,12485.26,-4.83
297609,5575,2024-06-03,48133.52,8731.63,15.82
830617,8218,2022-01-12,13546.55,6471.64,27.08
694556,2476,2024-04-04,39658.67,1896.45,33.13
722521,2193,2022-10-15,19555.7,13737.98,5.0
295701,7239,2022-10-01,25949.9,-132.33,45.4
762993,5097,2022-10-08,9300.86,-418.83,46.87
847818,9435,2023-07-30,26522.02,10769.29,-0.11
166213,2902,2024-02-09,49414.69,1017.77,3.61
366730,4606,2023-02-12,23805.98,14686.44,35.37
837642,4432,2024-05-19,21139.58,10751.53,33.01
328667,9787,2024-04-02,30940.17,5388.73,30.07
426598,5592,2022-06-24,18855.01,7421.56,11.01
893614,2194,2023-03-16,13120.63,4249.01,29.07
153144,6149,2022-11-01,25526.15,9510.45,7.91
537607,8725,2022-11-13,4931.66,642.23,41.94
