transaction_id,company_id,transaction_date,transaction_type,transaction_amount,transaction_currency
466676,3194,2022-06-11,Sell,2880237.59,EUR
934815,8218,2022-06-26,Dividend,4933195.58,EUR
770893,8987,2024-01-11,Sell,3875030.39,EUR
636355,9004,2022-09-10,Dividend,4627719.13,JPY
698047,4567,2021-11-27,Split,2253300.64,EUR
982132,7670,2024-04-30,Buy,4392683.04,GBP
581684,4574,2023-04-10,Dividend,2078813.01,USD
657809,3308,2024-08-14,Dividend,4214924.55,GBP
204573,9116,2022-07-03,Sell,3798327.79,JPY
689147,9865,2023-05-08,Dividend,3962174.38,EUR
788809,2640,2022-04-12,Sell,4564364.61,USD
783061,5180,2021-11-03,Split,4707346.24,JPY
981164,4950,2024-04-23,Sell,4622027.67,GBP
548909,1496,2023-06-25,Split,3732369.25,JPY
778344,8817,2022-02-16,Split,3090690.11,USD
490909,7818,2021-12-22,Dividend,3439232.7,EUR
651559,7810,2022-03-16,Split,1132715.64,GBP
973540,5957,2024-04-08,Dividend,1289272.66,JPY
409282,5249,2021-12-13,Buy,3477227.81,JPY
198825,4399,2022-03-05,Dividend,3610770.63,EUR
818049,2785,2024-08-21,Sell,212062.58,GBP
546167,1497,2021-10-15,Dividend,3460688.62,EUR
194487,4947,2022-04-22,Buy,1560812.75,JPY
619818,2869,2024-01-09,Buy,3326852.0,JPY
585755,9116,2022-05-22,Buy,4029019.77,GBP
469286,2210,2023-08-22,Dividend,3764443.16,JPY
426800,3692,2022-10-24,Split,4405009.23,GBP
245828,3453,2023-08-01,Sell,3258885.29,EUR
505313,1449,2023-04-02,Dividend,2144606.57,JPY
697421,1104,2022-04-06,Sell,3574495.69,USD
311470,3023,2021-12-07,Buy,525531.44,EUR
595352,6726,2023-11-18,Buy,1017086.97,GBP
575568,3934,2022-04-25,Buy,2848362.54,USD
459156,3972,2022-11-24,Dividend,4822778.39,USD
493521,1473,2021-09-26,Split,352453.17,JPY
542517,6347,2022-06-10,Sell,383781.85,GBP
106373,9223,2023-05-14,Buy,2377112.91,EUR
267179,1173,2022-07-20,Dividend,4317762.22,EUR
397524,9235,2024-05-21,Split,280214.47,USD
417220,1553,2022-11-20,Sell,1475610.18,USD
205572,8976,2022-03-18,Sell,3618013.81,GBP
662646,1902,2022-01-13,Sell,1083410.73,GBP
543805,1435,2022-07-02,Buy,1485965.58,EUR
339571,2089,2024-05-05,Buy,4127620.68,JPY
612574,7303,2023-12-30,Dividend,2131135.43,JPY
337183,6352,2021-12-03,Sell,3365868.79,JPY
760312,9951,2023-04-29,Buy,588421.04,JPY
335999,9731,2023-08-02,Dividend,3003018.0,GBP
700803,3791,2022-11-24,Buy,1205212.19,JPY
327050,4478,2023-05-31,Dividend,4372798.78,JPY
619699,7818,2024-07-23,Dividend,4349933.41,JPY
971150,8350,2022-07-20,Dividend,1289333.53,GBP
398830,6319,2024-05-20,Dividend,2792901.65,GBP
935711,3791,2023-10-07,Buy,2460853.92,EUR
135170,6347,2023-08-08,Split,2608427.92,JPY
742879,1250,2022-07-08,Split,1655659.34,EUR
209722,7225,2021-11-19,Sell,1099602.26,GBP
861510,9207,2023-01-22,Sell,2440385.07,JPY
689717,8925,2023-01-06,Dividend,2207522.93,EUR
496022,5808,2024-07-01,Buy,4004420.45,GBP
423027,4478,2023-10-30,Buy,3669940.48,JPY
203360,9442,2022-04-29,Split,2769311.02,USD
757107,4597,2024-02-06,Split,1041789.05,JPY
915514,2013,2022-09-30,Buy,4448707.17,GBP
554186,5575,2024-07-26,Split,4001063.39,GBP
826470,5575,2022-03-28,Buy,3077562.28,USD
639814,1179,2022-03-12,Dividend,2104970.05,JPY
101759,3222,2022-02-01,Buy,1646693.87,USD
532845,1216,2022-12-13,Dividend,880646.84,EUR
210681,8011,2024-03-29,Buy,2100107.53,USD
741240,1504,2024-01-08,Split,2040478.23,JPY
456147,1520,2023-10-01,Dividend,1743547.4,JPY
778678,1504,2024-07-29,Sell,434645.19,USD
351580,5575,2023-10-29,Split,3282096.84,JPY
315785,2579,2023-08-16,Dividend,3044561.39,JPY
255748,5889,2023-01-23,Split,3011897.35,EUR
310031,3319,2024-08-29,Dividend,303774.4,USD
194390,9951,2024-09-07,Buy,1207130.24,USD
889601,9004,2022-04-12,Sell,1975068.48,JPY
815126,4606,2022-05-18,Dividend,486259.09,GBP
157562,2939,2022-10-06,Buy,449427.38,EUR
577650,8513,2023-01-05,Split,828095.42,USD
273230,2693,2021-11-05,Buy,4176314.27,EUR
618526,6917,2024-07-04,Sell,2284506.55,USD
447246,3116,2022-05-29,Sell,1245401.09,EUR
750730,6476,2023-01-30,Sell,2271695.76,USD
975341,1448,2022-12-28,Buy,845930.61,EUR
140722,7223,2022-09-29,Sell,2274340.27,EUR
594827,1060,2023-01-02,Split,4505982.29,JPY
664343,4399,2022-10-24,Dividend,4398319.22,GBP
129749,7231,2024-08-28,Dividend,3436103.67,JPY
541115,9004,2022-11-25,Buy,189862.07,USD
672029,5632,2022-01-21,Sell,3609672.07,USD
659848,3194,2022-09-07,Buy,2728766.07,JPY
466869,6541,2023-06-08,Dividend,4667057.74,EUR
411446,7501,2023-09-26,Split,4127796.44,EUR
545929,1847,2023-01-22,Sell,4160296.56,EUR
705181,7174,2024-04-01,Split,4645857.87,USD
685170,4208,2023-06-01,Split,1300088.75,GBP
660845,3453,2022-04-20,Buy,1327876.94,EUR
906461,9353,2021-12-11,Sell,1993787.5,JPY
360457,7174,2022-07-12,Split,880420.41,USD
671600,2450,2023-02-11,Dividend,3881524.72,USD
537498,7095,2023-06-25,Sell,4824706.08,EUR
813255,7942,2024-06-20,Sell,4797781.19,JPY
564885,3821,2023-08-07,Split,911875.28,USD
659223,2045,2024-07-09,Sell,2476497.17,GBP
945908,4227,2023-05-15,Sell,823456.29,EUR
454070,4237,2024-01-16,Split,1561572.68,USD
724959,6563,2024-03-10,Buy,1702014.45,EUR
463870,9731,2022-12-01,Sell,2765144.55,JPY
154193,1948,2022-05-26,Buy,1874389.26,JPY
918560,1216,2023-06-08,Buy,841107.09,EUR
901713,5427,2023-03-10,Buy,3348541.74,JPY
775250,5974,2024-04-21,Buy,3922225.67,EUR
170570,5974,2022-02-04,Buy,2179591.06,EUR
883513,9309,2022-10-23,Split,4219512.1,JPY
863448,7204,2023-06-07,Split,3064294.74,JPY
932320,8721,2023-12-29,Buy,4932611.93,GBP
307268,8773,2024-02-14,Buy,3059770.66,USD
875186,2579,2022-06-09,Split,4749722.53,JPY
478681,4999,2022-09-10,Split,1760156.48,EUR
