price_id,company_id,date,open_price,close_price,high_price,low_price,volume
131476,1926,2022-07-20,847.36,617.81,847.36,617.81,565409
319990,4735,2022-08-01,1155.85,1507.74,1507.74,1155.85,100058
822562,2089,2022-12-16,245.4,409.35,1646.31,245.4,692736
680855,3308,2024-05-25,1188.23,620.33,1370.72,620.33,54467
145690,7174,2021-11-18,696.28,1948.65,1948.65,696.28,514928
251228,7501,2021-12-24,696.3,1508.92,1508.92,689.08,559055
126166,4091,2024-02-28,1794.18,742.17,1794.18,742.17,618027
191106,5889,2023-06-26,114.75,156.94,156.94,19.61,336065
660929,8817,2023-03-31,96.37,276.83,1137.41,96.37,60818
282073,9743,2024-02-11,779.56,557.17,995.63,557.17,503285
892086,6726,2023-11-04,362.93,1454.0,1989.17,362.93,276002
722518,6229,2023-02-10,1704.85,443.3,1704.85,443.3,727666
585448,7223,2023-11-17,1951.94,296.93,1951.94,296.93,393856
212276,3264,2024-01-03,831.33,548.35,831.33,548.35,90113
153060,9474,2022-05-02,682.11,782.46,1641.73,682.11,58957
239922,7443,2024-09-12,1498.17,1419.15,1868.59,1419.15,306515
136577,9474,2023-04-02,1185.24,230.91,1676.89,230.91,344397
617544,9309,2021-10-18,222.25,87.22,1279.08,87.22,715157
996287,4597,2022-10-04,109.07,564.27,1665.24,109.07,763732
412181,4177,2022-07-15,1196.48,1922.75,1922.75,1196.48,176692
631000,3721,2023-11-11,1369.23,1682.39,1682.39,1369.23,5330
420734,1553,2024-09-03,815.81,139.64,882.58,139.64,7624
181973,5126,2022-06-04,444.67,247.27,1880.76,247.27,319465
944186,1179,2021-11-07,234.59,854.67,854.67,234.59,22853
627385,1847,2022-02-08,1829.3,870.47,1829.3,870.47,645301
631669,5240,2024-06-03,1303.14,1700.46,1737.13,72.43,964458
766757,7022,2024-08-27,93.89,1639.85,1639.85,93.89,674618
104816,6324,2021-10-11,1870.87,825.95,1870.87,825.95,223086
247056,2972,2024-06-18,343.73,1300.35,1300.35,300.09,263475
367975,9731,2023-08-09,1252.01,1759.94,1759.94,160.44,991737
972830,5464,2023-05-07,472.94,17.47,533.5,17.47,765055
892747,8343,2022-01-06,1356.76,222.56,1675.04,222.56,587771
899463,7790,2022-06-11,1573.19,1163.31,1573.19,923.03,384253
189534,9007,2022-03-03,1637.86,721.75,1637.86,381.34,517938
863420,5770,2023-02-21,1660.54,1730.0,1730.0,1394.08,151465
451072,6280,2024-03-26,1745.13,968.84,1745.13,233.06,820909
418725,3030,2024-06-04,1517.59,835.21,1517.59,364.45,672324
186249,9915,2024-06-19,95.41,1653.36,1653.36,94.53,804119
348247,4663,2024-07-09,1243.41,1781.65,1781.65,1243.41,620589
517508,9248,2022-04-18,587.58,287.66,587.58,58.68,961182
968730,5171,2022-05-16,1641.69,239.86,1641.69,239.86,886055
175169,4798,2021-12-23,1396.82,1844.3,1939.13,839.0,521397
236607,5180,2023-11-19,546.51,165.31,820.64,165.31,519386
814189,1194,2022-03-25,881.75,1351.55,1351.55,881.75,587831
393773,9317,2022-10-25,535.78,1645.47,1645.47,535.78,748314
473008,2745,2023-12-27,1589.96,796.36,1589.96,796.36,687984
663300,7439,2021-10-12,1823.12,1109.76,1823.12,1109.76,608178
767449,8702,2024-04-10,1579.41,992.47,1579.41,992.47,366850
555063,1176,2022-02-23,1963.19,818.85,1963.19,818.85,294202
465407,4689,2023-11-06,1511.36,1904.62,1904.62,1351.81,43019
227566,9060,2024-03-13,1586.56,288.23,1586.56,288.23,107516
999164,5158,2023-09-14,1774.69,1260.42,1774.69,805.63,205298
901611,4461,2022-07-03,1463.75,1979.5,1979.5,1056.62,580278
800622,8925,2023-03-04,616.58,1631.35,1891.06,616.58,14126
541340,2398,2022-05-17,466.44,252.13,482.9,252.13,730837
392186,5965,2024-06-22,1550.82,1500.92,1550.82,1046.4,527535
787218,5597,2023-09-24,1485.09,1587.33,1587.33,117.17,646332
749300,4735,2024-08-08,1795.78,195.23,1795.78,195.23,984478
749638,8030,2024-06-15,471.74,601.84,1452.36,25.15,953689
980449,4369,2021-10-10,1450.33,600.83,1450.33,600.83,19318
273491,3559,2023-06-29,1897.55,33.07,1897.55,33.07,963182
730500,4780,2024-07-21,587.48,1858.24,1858.24,587.48,478853
468392,2194,2024-09-21,148.57,1665.19,1665.19,148.57,54153
218411,1807,2021-09-26,455.55,377.16,455.55,377.16,672948
192288,2623,2024-06-10,1672.46,1383.4,1672.46,985.33,263465
673598,5386,2022-11-03,768.68,1191.16,1191.16,768.68,79316
135250,6318,2022-12-19,1598.62,713.92,1598.62,540.86,713944
584441,5382,2024-07-14,1084.89,1521.34,1521.34,665.25,127131
760109,2450,2022-09-09,1045.57,726.16,1135.59,411.33,181490
266697,3450,2022-03-29,811.23,246.23,972.09,246.23,654910
263230,7120,2024-04-13,1953.55,879.53,1953.55,482.8,768635
280543,7223,2023-07-31,1135.82,260.26,1135.82,260.26,33346
900777,1008,2022-11-14,823.29,806.76,823.29,167.08,346643
615152,1768,2022-06-21,1133.82,904.51,1133.82,904.51,244121
691896,5385,2022-12-28,1826.3,1602.1,1826.3,1602.1,619698
794175,1396,2022-01-20,867.64,509.14,867.64,482.34,99524
793948,5713,2024-01-21,1827.98,1315.66,1827.98,290.21,482934
434337,4726,2021-09-30,1888.14,120.26,1888.14,51.46,149115
555114,9023,2024-06-21,1444.34,1217.76,1444.34,20.53,664204
893502,7401,2024-06-29,631.74,1064.12,1064.12,243.79,274824
550697,6690,2024-04-05,883.8,37.27,883.8,29.05,283673
821541,8218,2021-09-25,1656.43,385.44,1656.43,385.44,688653
269980,3891,2022-01-17,501.98,1271.51,1292.22,501.98,598639
186993,1208,2023-09-04,265.85,894.63,894.63,265.85,663692
495971,9207,2022-12-07,1092.03,1901.38,1901.38,1092.03,878002
