volume_id,company_id,date,buy_volume,sell_volume,net_volume
150543,8800,2023-11-18,6058,51587,-45529
291909,1497,2022-07-23,22053,96552,-74499
195134,6150,2022-10-09,38039,77192,-39153
798654,3116,2024-09-01,35503,42837,-7334
721632,4127,2022-09-27,65647,86984,-21337
793888,1902,2023-12-16,47486,79240,-31754
572231,7771,2022-09-13,47737,40729,7008
380994,5986,2022-07-20,41709,18954,22755
676069,1176,2023-10-08,77569,30689,46880
250385,8037,2024-02-06,26908,88287,-61379
254356,8647,2024-09-24,90218,38027,52191
154481,8442,2023-02-09,87889,2315,85574
568608,5941,2023-05-17,63880,77374,-13494
823107,9817,2024-09-24,87467,58313,29154
731050,4086,2023-06-27,45036,91004,-45968
318576,1479,2022-06-28,49047,55602,-6555
465980,9023,2024-08-16,38820,61479,-22659
692777,7209,2023-07-10,49092,86698,-37606
792847,1351,2021-10-07,77990,6875,71115
118978,1063,2023-11-08,96176,35655,60521
788273,6821,2023-05-24,41646,8048,33598
391829,4574,2023-10-08,4432,81542,-77110
102945,4703,2023-05-16,14080,3120,10960
892322,1479,2023-10-13,59962,61365,-1403
120546,4896,2024-04-02,3989,60824,-56835
166680,8999,2022-03-21,1963,70014,-68051
829380,4241,2022-06-03,42130,72802,-30672
427603,9901,2024-05-27,48703,94428,-45725
805970,1396,2023-11-19,18737,85597,-66860
578157,7011,2024-02-21,63944,83427,-19483
872051,8350,2023-11-16,57066,80551,-23485
222734,5322,2023-01-15,83954,34656,49298
335626,1869,2022-01-16,33719,53602,-19883
858452,5988,2023-04-13,13782,28317,-14535
583114,5330,2022-07-27,95688,27460,68228
575706,7120,2023-01-13,75727,8996,66731
791556,9943,2023-04-06,33335,44629,-11294
279073,5770,2021-10-28,48630,24307,24323
980764,1947,2022-05-10,47910,80024,-32114
390132,5965,2023-01-05,66973,30041,36932
859762,4002,2022-09-01,11072,77870,-66798
472001,9082,2023-05-08,49430,68068,-18638
569890,5965,2023-10-12,16546,49052,-32506
774942,1651,2022-10-20,37684,15914,21770
301632,8691,2024-01-04,90712,28788,61924
534694,1376,2022-11-17,68583,47385,21198
452959,7209,2023-12-22,40422,93474,-53052
681304,2192,2023-02-20,62208,5027,57181
690768,7818,2024-02-13,91466,26099,65367
274913,5385,2022-08-21,20280,31246,-10966
406544,5974,2023-11-06,43967,4833,39134
604012,2085,2024-07-16,50937,94629,-43692
641690,5171,2024-04-28,1303,53348,-52045
417212,4363,2022-06-09,65575,5516,60059
286630,5525,2023-02-20,81483,10004,71479
636730,6563,2024-09-01,18413,89549,-71136
676325,7470,2022-10-19,1847,98679,-96832
702541,7036,2023-04-09,76817,23508,53309
579237,9132,2022-08-14,49386,43636,5750
933707,7204,2023-06-03,63427,1616,61811
867023,9116,2024-07-18,43014,71799,-28785
740525,4968,2022-05-06,56970,91905,-34935
507423,9060,2024-06-20,65226,5309,59917
676254,4798,2024-01-13,98062,49815,48247
894013,4735,2024-08-09,70178,95193,-25015
788377,4539,2023-10-06,58100,14002,44098
603520,3267,2023-01-02,5209,18767,-13558
562906,7072,2024-03-26,84150,50166,33984
125415,3108,2024-04-08,98752,29293,69459
742783,2217,2022-11-03,86674,18299,68375
705156,8800,2023-03-19,84989,71019,13970
772770,6324,2021-10-16,94267,35498,58769
516796,8037,2023-02-25,25565,13700,11865
994788,8576,2022-05-09,59993,43590,16403
269827,3040,2022-08-04,63527,13204,50323
825593,9903,2023-08-16,5370,52314,-46944
801079,1386,2022-05-12,79572,77934,1638
936536,4369,2022-08-03,79534,73361,6173
180979,7330,2022-04-23,64163,46447,17716
267933,9478,2022-01-06,83324,30985,52339
841391,7898,2024-01-30,79218,99026,-19808
820912,9596,2024-08-03,39088,35271,3817
321188,7395,2024-06-17,96603,25000,71603
553113,3292,2023-08-09,20836,8278,12558
608141,4726,2022-02-14,39156,8581,30575
602181,7256,2022-11-24,85845,88253,-2408
697923,6150,2022-12-25,61912,33314,28598
593856,1008,2022-07-07,63462,28372,35090
541252,9719,2021-12-01,34401,98278,-63877
868640,1473,2024-02-17,96894,79729,17165
639625,5319,2024-05-14,82892,18202,64690
525616,1479,2024-04-01,19528,55635,-36107
492324,7911,2023-04-01,41635,72569,-30934
971077,7732,2024-06-29,21561,81623,-60062
523523,4726,2021-12-06,27296,78932,-51636
925987,9951,2024-07-31,47339,75001,-27662
697915,1286,2023-07-16,40863,90588,-49725
476956,2355,2024-09-17,37841,20370,17471
549369,6361,2024-09-06,95894,50773,45121
749583,8051,2024-03-08,41944,23252,18692
868948,8442,2023-06-26,50185,21474,28711
148458,9901,2023-10-02,21054,8528,12526
128681,7470,2022-11-18,15929,16331,-402
923610,5171,2024-02-13,40525,63786,-23261
623671,2991,2023-08-22,14672,68414,-53742
823688,2217,2022-12-02,48488,86682,-38194
892131,1882,2023-10-29,91787,65857,25930
782321,1176,2023-10-08,33833,15699,18134
420143,1082,2022-01-22,53934,43454,10480
705901,7011,2023-06-19,68427,37728,30699
687693,5464,2023-01-29,5707,63065,-57358
532009,3572,2023-09-09,68186,21400,46786
429122,5770,2024-07-11,58427,36305,22122
851046,6016,2022-07-18,43068,4902,38166
808232,8970,2022-11-19,88625,44397,44228
151125,3108,2022-08-20,11436,74620,-63184
858288,4208,2024-06-04,34366,82559,-48193
139896,5632,2023-07-02,24991,55345,-30354
